Found 40 documents in dt8b_site_content:
  id=1	pagetitle='Главная'	alias='glavnaya'
  id=2	pagetitle='Меню'	alias='menyu'
  id=3	pagetitle='Горячее'	alias='goryachee'
  id=4	pagetitle='Салаты'	alias='salaty'
  id=5	pagetitle='Утиный окорок'	alias='utinyj-okorok'
  id=6	pagetitle='Салат из капусты с морковью'	alias='salat-iz-kapusty-s-morkovyu'
  id=7	pagetitle='Гарниры'	alias='garniry'
  id=8	pagetitle='Картофельное пюре'	alias='kartofelnoe-pyure'
  id=9	pagetitle='menu day'	alias='menu-day'
  id=10	pagetitle='Корзина'	alias='korzina'
  id=11	pagetitle='Оформление заказа'	alias='oformlenie-zakaza'
  id=12	pagetitle='Избранное'	alias='izbrannoe'
  id=13	pagetitle='Личный кабинет'	alias='account'
  id=14	pagetitle='Регистрация'	alias='registraciya'
  id=15	pagetitle='Профиль'	alias='profil'
  id=16	pagetitle='Авторизация'	alias='avtorizaciya'
  id=17	pagetitle='История заказов'	alias='istoriya-zakazov'
  id=19	pagetitle='Салат с кальмаром'	alias='c-t-iz-svezhih-ovoshhej-s-grenkami'
  id=20	pagetitle='Цезарь с креветкой'	alias='s-t-russkij-s-seldyu'
  id=21	pagetitle='Закуски'	alias='zakuski'
  id=22	pagetitle='Сендвич с лососем'	alias='sendvich-s-lososem'
  id=23	pagetitle='Сендвич с ветчиной и яйцом'	alias='sendvich-s-vetchinoj-i-yajcom'
  id=24	pagetitle='Сэндвич с цыплёнком и беконом'	alias='sendvich-s-cyplyonkom-i-bekonom'
  id=25	pagetitle='Салат с хрустящими баклажанами'	alias='salat-s-hrustyashhimi-baklazhanami'
  id=26	pagetitle='Результаты поиска'	alias='rezultaty-poiska'
  id=27	pagetitle='Акции'	alias='akcii'
  id=28	pagetitle='Техническая информация'	alias='tehnicheskaya-informaciya'
  id=29	pagetitle='Личный кабинет Для юр. лиц'	alias='lichnyj-kabinet-kopiya'
  id=30	pagetitle='Регистрация'	alias='registraciya'
  id=31	pagetitle='Профиль'	alias='profil'
  id=32	pagetitle='Авторизация'	alias='avtorizaciya'
  id=33	pagetitle='История заказов'	alias='istoriya-zakazov'
  id=34	pagetitle='Часто задаваемы вопросы'	alias='chasto-zadavaemy-voprosy'
  id=35	pagetitle='Контакты'	alias='kontakty'
  id=36	pagetitle='Новости'	alias='novosti'
  id=37	pagetitle='Первая новость'	alias='pervaya-novost'
  id=38	pagetitle='Вторая новость'	alias='vtoraya-novost'
  id=39	pagetitle='Третья новость'	alias='tretya-novost'
  id=40	pagetitle='Четвертая новость'	alias='chetvertaya-novost'
  id=41	pagetitle='О компании'	alias='company'
